RefsPieces,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
V5312754020000_NH4E,'TOD1-H00-901', '2CC1-E00-004', '2CC1-A00-020', 'FAP1-800-001', 'FCA1-330-003', '2CC1-E00-005', '2CC1-E00-014',,,,,,,,,,,,,,,,,,,,,
D53118179200-20100_NH4E,'TOD1-H00-901', 'FCA1-C50-000', '2CC1-D00-033', '2CC1-B00-005', 'FCA1-330-003',,,,,,,,,,,,,,,,,,,,,,,
D52810025200-20104_NH4E,'TOD1-H00-901', '2CC1-D00-008', 'FCA1-320-002', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,,,,
F53114529200-20100_NH4E,'TOD1-H00-901', '2CC1-D00-004', '2CC1-B00-005', '2CC1-D00-009', 'FCA1-320-000', '2CC1-A00-005',,,,,,,,,,,,,,,,,,,,,,
D53929006200-20100_NH4E,'TOD1-H00-009', '2CC1-D00-002', '2CC1-800-002', '2CC1-A00-012', '2CC1-E00-010', 'FCA1-330-000', 'FCA1-660-000',,,,,,,,,,,,,,,,,,,,,
V5311187920000_NH4E,'TOD1-H00-901', '2CC1-E00-008', '2CC1-B00-402', 'FCA1-410-000', '2CC1-D00-012', '2CC1-E00-014', 'FCA1-380-000', 'ACW1-400-005', '2CC1-A00-001',,,,,,,,,,,,,,,,,,,
V5392619220000_NH4E,'TOD1-H00-901', '2CC1-D00-008', 'FCA1-570-003', 'ACW1-016-672', '2CC1-B00-009', '2CH1-D00-001',,,,,,,,,,,,,,,,,,,,,,
D53113229200-20100_NH4E,'TOD1-H00-041', 'FCA1-850-012', '2CC1-D00-002', '2CC1-B00-005', 'FCA1-320-000',,,,,,,,,,,,,,,,,,,,,,,
V5311171020001_NH4E,'TOD1-H00-009', '2CC1-D00-008', '2CC1-B00-009', '2CC1-800-049', 'FCA1-330-000', 'FCA1-250-001',,,,,,,,,,,,,,,,,,,,,,
F5311689220000-01-04-08-12_NH4E,'2CC1-E00-004', 'FCA1-410-000', '2CC1-B00-555',,,,,,,,,,,,,,,,,,,,,,,,,
V5312757620000VERS01_NH4E,'TOD1-H00-901', '2CC1-D00-031', 'FCA1-330-000', '2CC1-B00-009', 'FAP1-800-019', '2CC1-E00-014', 'FCA1-250-100',,,,,,,,,,,,,,,,,,,,,
V5311216220000_NH4E,'TOD1-H00-901', 'FCA1-330-003', 'FCA1-250-100', '2CC1-B00-005', '2CC1-D00-004', '2CC1-E00-009', 'FAP1-800-019',,,,,,,,,,,,,,,,,,,,,
F5311684520000_NH4E,'2CC1-D00-002', 'TOD1-H00-901', '2CC1-B00-001', '2CC1-800-503', '2CC1-B00-005', 'FCA1-250-100',,,,,,,,,,,,,,,,,,,,,,
V9247544320000_NH4E,'2CC1-F00-004', 'FAP1-800-001', 'FCA1-250-001', 'FCA1-490-000', '2CC1-B00-001', '2CC1-D00-004', '2CC1-A00-001', '2CC1-E00-014', 'FCA1-980-000', 'ACW1-A00-004',,,,,,,,,,,,,,,,,,
V21215613204-20501_NH4E,'TOD1-H00-901', 'FCA1-720-000', 'FCA1-250-100', 'FCA1-570-003', '2CC1-D00-012', '2CC1-D00-009', 'FCA1-850-012', 'FAL1-C00-001', '3PQ1-I00-006', '2CC1-E00-014', '2CC1-D00-008', 'FCA1-570-002', '2CC1-B00-009',,,,,,,,,,,,,,,
G0534913110101_NH4E,'TOD1-H00-901', 'FCA1-780-000', 'ACW1-800-004', 'FCA1-650-000', 'FCA1-450-000', 'FCA1-250-001', 'FCA1-330-003', '2CC1-E00-014', '2CC1-E00-003', '2CC1-B00-005',,,,,,,,,,,,,,,,,,
V5311058620000_NH4E,'TOD1-H00-901', '2CC1-B00-032', '2CC1-B00-009', '2CC1-A00-020', 'FAP1-800-001', 'FCA1-330-003', 'FCA1-880-001',,,,,,,,,,,,,,,,,,,,,
D53135081200-20140_NH4E,'TOD1-H00-901', '2CC1-B00-005', 'FCA1-320-000', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-014', 'FCA1-510-002', '2CC1-D00-504',,,,,,,,,,,,,,,,,,,,
F53113535200-20100_NH4E,'TOD1-H00-901', '2CC1-E00-004', '2CC1-B00-512', '2CC1-D00-004', '2CC1-B00-005', '2CC1-E00-009', 'FCA1-320-002', '2CC1-800-001',,,,,,,,,,,,,,,,,,,,
V53323576016-01700_NH4E,'TOD1-H00-901', '2CC1-B00-503', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-009', 'FCA1-370-000', 'FCA1-D00-002', '2CC1-B00-009', 'AEX1-G66-004', '2CH1-D00-001',,,,,,,,,,,,,,,,,,
V5312677920000_NH4E,'TOD1-H00-901', 'FCA1-650-000', '2CC1-E00-089', '2CC1-D00-009', 'FCA1-980-002', 'ACW1-A00-004', 'FCA1-C50-000', '2CC1-B00-005', 'AEX1-E00-001', '2CO1-A00-002', '2CC1-E00-014', '2CC1-B00-006', '2CC1-B00-055', '2CC1-400-047',,,,,,,,,,,,,,
F53325418200-20100_NH4E,'2CC1-E00-002', 'FCA1-320-000', '2CC1-800-003', '2CC1-B00-002', '2CC1-E00-014', 'FAP1-800-001', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,,
V5311347020240_NH4E,'TOD1-H00-901', '2CC1-D00-002', '2CC1-D00-004', '2CC1-B00-004', '2CC1-D00-001', '3PQ1-I00-006', 'FCA1-850-010', 'FAL1-C00-001', '2CC1-E00-014', 'FCA1-810-003', 'FCA1-330-000', 'FCA1-250-001', '2CC1-D00-008', '2CC1-D00-012', '2CC1-B00-005', '2CC1-D00-038',,,,,,,,,,,,
D5392904520002_NH4E,'2CC1-F00-002', '2CC1-D00-001', 'FCA1-650-000', 'FCA1-320-002', '3CB1-N00-007', '2CC1-D00-010', '2CC1-B00-001',,,,,,,,,,,,,,,,,,,,,
D53135754200-20100_NH4E,'TOD1-H00-901', '2CC1-B00-006', 'FCA1-650-000', 'FCA1-780-000', 'ACW1-800-004', '2CC1-E00-014', 'FCA1-410-000', '2CC1-600-007', '2CC1-B00-005', 'FCA1-740-000',,,,,,,,,,,,,,,,,,
V5311248120000_NH4E,'2CC1-E00-001', '2CC1-B00-008', '2CC1-800-044', '2CO1-A00-002', 'FCA1-330-003', 'FCA1-A30-000',,,,,,,,,,,,,,,,,,,,,,
D53918598200-20141_NH4E,'TOD1-H00-902', '2CC1-E00-504', 'FCA1-850-012', 'FCA1-780-000', 'ACW1-800-004', '2CC1-A00-001', '2CC1-E00-014', '2CC1-E00-090', '2CC1-D00-001', '2CC1-800-506', 'FCA1-610-000', 'ACW1-633-001', 'FCA1-660-000', 'FCA1-410-000', 'FCA1-330-003', '2CC1-B00-009',,,,,,,,,,,,
F5311684520001_MAT1_NH4E,'2CC1-D00-002', 'TOD1-H00-901', '2CC1-B00-001', '2CC1-800-003', '2CC1-B00-009', 'FCA1-250-100',,,,,,,,,,,,,,,,,,,,,,
